# Campos: Identificador (inteiro), Nome (string), País de Origem (string), Ano de Lançamento (inteiro), Função (string)
56
1, "Sputnik 1", "URSS", 1957, "Primeiro satélite artificial, isto é, o primeiro objeto posto pela humanidade em órbita ao redor de um corpo celeste, no caso a Terra"
2, "Sputnik 2", "URSS", 1957, "Segundo satélite artificial, o primeiro a carregar um ser vivo, uma cachorra chamada Laika."
3, "Explorer 1", "EUA", 1958, "Primeiro satélite lançado pelo governo dos Estados Unidos."
4, "TRANSIT", "EUA", 1959, "Primeiro sistema de navegação por rádio satélite a ser criado, usado para sistemas de navegação da marinha dos Estados Unidos."
5, "TIROS-1", "EUA", 1960, "Primeiro experimento da NASA para determinar a efetividade de satélites em observações meteorológicas."
6, "Telstar 19V", "Canadá", 2018, "Um satélite de comunicação geoestacionário que foi construído pela Space Systems/Loral (SS/L)."
7, "Lua", "Theia", 2147483647, "Único satélite natural da Terra e o quinto maior do Sistema Solar, sendo o maior satélite natural de um planeta no sistema solar em relação ao tamanho do seu corpo primário"
8, "SCD-1", "Brasil", 1993, "Satélite de coleta de dados ambientais; primeiro do tipo lançado pelo Brasil, utilizado para monitoramento climático e hídrico."
9, "SCD-2", "Brasil", 1998, "Segundo satélite de coleta de dados ambientais do INPE; monitora bacias hidrográficas e fornece dados fluviométricos e pluviométricos."
10, "SOlar Radiation and Climate Experiment (SORCE)", "EUA", 2003, "Monitora o Sol."
11, "SORTIE", "EUA", 2020, "Lançado da Estação Espacial Internacional; estuda densidade de plasma e ondas na ionosfera."
12, "1HOPSAT-TD", "EUA", 2019, "Projeto piloto para constelação de observação da Terra."
13, "Aeneas", "EUA", 2012, "Demonstração tecnológica para rastrear contêineres de carga globalmente."
14, "ADLER-2", "Áustria", 2023, "Monitoramento de detritos orbitais e estudo de nuvens e aerossóis."
15, "Aeolus", "União Europeia", 2018, "Mede fluxo de ventos e correntes de ar na Terra, melhorando previsões meteorológicas."
16, "All-Charlie", "Lituânia", 2021, "Analisa espectro de radiofrequência para mapear tecnologias como 5G."
17, "All-Bravo", "Lituânia", 2021, "N/A."
18, "AISSat-1", "Noruega", 2010, "Recebe e retransmite sinais AIS para rastreamento de navios."
19, "AIM", "EUA", 2007, "Estuda nuvens noctilucentes na mesosfera polar."
20, "AISSat-2", "Noruega", 2014, "Segundo satélite AIS norueguês para rastreamento marítimo."
21, "Alcomsat", "Argélia", 2017, "Primeiro satélite de comunicações da Argélia."
22, "BS-2A", "Multinational", 2016, "N/A."
23, "ABS-3A", "Multinacional", 2015, "Cobertura das Américas, Europa e África"
24, "ABS-4 (ABS-2i, MBSat, Mobile Broadcasting Satellite, Han Byul)", "Multinacional", 2004, "Adquirido pela ABS em 2013"
25, "ABS-6 (ABS-1, LMI-1, Lockheed Martin-Intersputnik-1)", "Multinacional", 1999, "28 bandas C e 16 bandas Ku; serviços de voz, dados e TV para Europa Oriental, CEI, Ásia, África, Oriente Médio e Austrália"
26, "Skynet 5A", "Reino Unido", 2007, "Nova geração de comunicações Skynet"
27, "Skynet 5B", "Reino Unido", 2007, "Comunicações militares"
28, "Skynet 5C", "Reino Unido", 2008, "24 canais SHF e UHF; comunicações seguras para forças britânicas e OTAN"
29, "VDNH-80", "Rússia", 2019, "Detectores de partículas carregadas e raios gama para estudo de clima espacial"
30, "Veery Hatchling v.0.2", "EUA", 2021, "Nanosatélites para medições de vento sobre os oceanos"
31, "Weili Kongjian 1-S5 (Centispace 1S5)", "China", 2022, "Navegação futura"
32, "Yaogan 30-9-1 (Remote Sensing Satellite 30-9-1)", "China", 2021, "Sensoriamento e vigilância orbital"
33, "Yaogan 30-9-2 (Remote Sensing Satellite 30-9-2)", "China", 2021, "Sensoriamento e vigilância orbital"
34, "Reaktor Hello World", "Finlândia", 2018, "Menor satélite a carregar um imageador hiperespectral"
35, "Reimei (Innovative Technology Demonstration Experiment Satellite - INDEX)", "Japão", 2005, "Observações de aurora e testes tecnológicos"
36, "Pearl White 2", "EUA", 2019, "Demonstração tecnológica para o Comando Espacial da Força Aérea"
37, "PEASSS (PiezoElectric Assisted Small Satellite)", "Holanda", 2017, "Desenvolvimento de estruturas inteligentes para uso espacial"
38, "Persona-2 (Cosmos 2486)", "Rússia", 2013, "Nova classe de satélites de reconhecimento óptico; Persona-1 falhou após o lançamento em 2008"
39, "Pléiades Neo 3", "França", 2021, "Uso governamental e militar"
40, "CACTUS-1 (Coordinated Applied Capitol Technology University Satellite 1)", "EUA", 2021, "TrapSat usa aerogel para capturar e perfilar microdetritos orbitais"
41, "Calipso (Cloud-Aerosol Lidar and Infrared Pathfinder Satellite Observation)", "França", 2006, "—"
42, "CELTEE-1 (CubeSat Enhanced Locator Transponder Evaluation Experiment-1)", "EUA", 2016, "—"
43, "Centauri-1", "Austrália", 2018, "Cubesat de testes"
44, "CHASE (Chinese Hydrogen Alpha Solar Explorer, Xihe)", "China", 2021, "Pesquisa solar com telescópio hidrogênio-alfa"
45, "Checkmate 1", "EUA", 2023, "Demonstração para futura constelação de rastreamento de mísseis"
46, "CIRiS (Compact Radiometer in Space)", "EUA", 2020, "Demonstração de radiômetro infravermelho (7–13 µm)"
47, "CLIO (USA 257)", "EUA", 2014, "Possível satélite de inteligência de sinais"
48, "Cloudsat", "EUA", 2006, "Parte da A-Train; radar para refletividade de nuvens"
49, "CMS-1 (GSAT 12R)", "Índia", 2020, "—"
50, "Himawari 8", "Japão", 2014, "Equipado com imageadores avançados Himawari (AHIs)"
51, "Himawari 9", "Japão", 2016, "Equipado com imageadores avançados Himawari (AHIs)"
52, "Hinode (Solar B)", "Multinacional", 2006, "—"
53, "Hisaki (Sprint A)", "Japão", 2013, "Telescópio UV extremo para estudar interação planetária com plasma"
54, "LacunaSat-3", "Reino Unido", 2020, "IoT/M2M"
55, "Ladybird 1 (Piao Chong 1)", "China", 2018, "Retransmissão de dados IoT"
